English,Korean
ability,능력
intensely,열렬히
observe,관찰하다
compare,비교하다
growth,"성장, 증가"
switch,바꾸다
unknowingly,모르게
ownership,소유(권)
frequency,빈도
likely,~할 것 같은
decline,"감소하다, 줄어들다"
sharply,급격히
assure,"확신하다, 확신시켜주다"
naturalist,자연주의자
dissatisfied,불만스러워하는
mysterious,신비한
operate,"작동하다, 가동하다"
annoyed,화가 나는
water,"물을 주다, 뿌리다"
memorable,기억할만한
represent,"대표하다, 나타내다"
environmentalist,환경운동가
protest,"항의하다, 반대하다"
clear,제거하다
activist,활동가
invasive,침입하는
ecosystem,생태계
reduce,줄이다
plantation,농장
dismay,"당황, 낙담"
tend,(~하는) 경향이 있다
harm,"해, 피해"
native,토종의
frequent,빈번한
accent,억양
compliment,칭찬의 말
professor,교수
stereotype,고정관념
appreciate,고마워하다
term,용어
coin,"(새로운 말, 어구를) 만들다"
subtle,미묘한
discriminatory,차별적인
remark,발언
intentional,의도적인
minority,소수
commit,저지르다
unaware,알지 못하는
insulting,모욕적인
avoid,"피하다, 회피하다"
assessment,평가
manufacturer,제조사
mass,"대규모의, 대량의"
destruction,파괴
criticize,비난하다
devastated,엄청난 충격을 받은
vast,"막대한, 거액의"
fortune,부
establish,확립하다
humanity,인류
transparent,"맑은, 투명한"
soar,"치솟다, 급등하다"
dismiss,묵살하다
formation,형성(됨)
discard,버리다
stare,"응시하다, 빤히 쳐다보다"
education,교육
concept,개념
famed,아주 유명한
burrow,"굴, 은신처"
mountainside,"산비탈, 산록"
negotiation,협상
odd,이상한
rule,규칙
prevent,"예방하다, 막다"
intrusion,"방해, 침해"
thriving,번창하고 있는
leap,"도약, 멀리뛰기"
solution,해결책
frame,"표현하다, 틀을 잡다"
